PCODE;Weeks;Name;Population;Cases;Cumul_cases;IR_100000;CumulIR_100000
NG011001;1;Abakaliki;198100;0;0;0;0
NG011001;2;Abakaliki;198100;0;0;0;0
NG011001;3;Abakaliki;198100;0;0;0;0
NG011001;4;Abakaliki;198100;0;0;0;0
NG011001;5;Abakaliki;198100;0;0;0;0
NG011001;6;Abakaliki;198100;0;0;0;0
NG011001;7;Abakaliki;198100;0;0;0;0
NG011001;8;Abakaliki;198100;0;0;0;0
NG011001;9;Abakaliki;198100;0;0;0;0
NG011001;10;Abakaliki;198100;0;0;0;0
NG011001;11;Abakaliki;198100;0;0;0;0
NG011001;12;Abakaliki;198100;0;0;0;0
NG011001;13;Abakaliki;198100;0;0;0;0
NG011001;14;Abakaliki;198100;0;0;0;0
NG011001;15;Abakaliki;198100;0;0;0;0
NG011001;16;Abakaliki;198100;0;0;0;0
NG011001;17;Abakaliki;198100;0;0;0;0
NG011001;18;Abakaliki;198100;0;0;0;0
NG011001;19;Abakaliki;198100;0;0;0;0
NG011001;20;Abakaliki;198100;0;0;0;0
NG011001;21;Abakaliki;198100;0;0;0;0
NG011001;22;Abakaliki;198100;0;0;0;0
NG011001;23;Abakaliki;198100;0;0;0;0
NG011001;24;Abakaliki;198100;0;0;0;0
NG011001;25;Abakaliki;198100;0;0;0;0
NG011001;26;Abakaliki;198100;0;0;0;0
NG011001;27;Abakaliki;198100;0;0;0;0
NG011001;28;Abakaliki;198100;0;0;0;0
NG011001;29;Abakaliki;198100;0;0;0;0
NG011001;30;Abakaliki;198100;0;0;0;0
NG011001;31;Abakaliki;198100;0;0;0;0
NG011001;32;Abakaliki;198100;0;0;0;0
NG011001;33;Abakaliki;198100;0;0;0;0
NG011001;34;Abakaliki;198100;0;0;0;0
NG011001;35;Abakaliki;198100;;0;0;0
NG011001;36;Abakaliki;198100;;0;0;0
NG011001;37;Abakaliki;198100;;0;0;0
NG011001;38;Abakaliki;198100;;0;0;0
NG011001;39;Abakaliki;198100;;0;0;0
NG011001;40;Abakaliki;198100;;0;0;0
NG011001;41;Abakaliki;198100;;0;0;0
NG011001;42;Abakaliki;198100;;0;0;0
NG011001;43;Abakaliki;198100;;0;0;0
NG011001;44;Abakaliki;198100;;0;0;0
NG011001;45;Abakaliki;198100;;0;0;0
NG011001;46;Abakaliki;198100;;0;0;0
NG011001;47;Abakaliki;198100;;0;0;0
NG011001;48;Abakaliki;198100;;0;0;0
NG011001;49;Abakaliki;198100;;0;0;0
NG011001;50;Abakaliki;198100;;0;0;0
NG011001;51;Abakaliki;198100;;0;0;0
NG011001;52;Abakaliki;198100;;0;0;0
NG011002;1;Afikpo North;207300;0;0;0;0
NG011002;2;Afikpo North;207300;0;0;0;0
NG011002;3;Afikpo North;207300;0;0;0;0
NG011002;4;Afikpo North;207300;0;0;0;0
NG011002;5;Afikpo North;207300;0;0;0;0
NG011002;6;Afikpo North;207300;0;0;0;0
NG011002;7;Afikpo North;207300;0;0;0;0
NG011002;8;Afikpo North;207300;0;0;0;0
NG011002;9;Afikpo North;207300;0;0;0;0
NG011002;10;Afikpo North;207300;0;0;0;0
NG011002;11;Afikpo North;207300;0;0;0;0
NG011002;12;Afikpo North;207300;0;0;0;0
NG011002;13;Afikpo North;207300;1;1;0,48;0,48
NG011002;14;Afikpo North;207300;0;1;0;0,48
NG011002;15;Afikpo North;207300;0;1;0;0,48
NG011002;16;Afikpo North;207300;0;1;0;0,48
NG011002;17;Afikpo North;207300;0;1;0;0,48
NG011002;18;Afikpo North;207300;0;1;0;0,48
NG011002;19;Afikpo North;207300;0;1;0;0,48
NG011002;20;Afikpo North;207300;1;2;0,48;0,96
NG011002;21;Afikpo North;207300;0;2;0;0,96
NG011002;22;Afikpo North;207300;0;2;0;0,96
NG011002;23;Afikpo North;207300;0;2;0;0,96
NG011002;24;Afikpo North;207300;0;2;0;0,96
NG011002;25;Afikpo North;207300;0;2;0;0,96
NG011002;26;Afikpo North;207300;1;3;0,48;1,45
NG011002;27;Afikpo North;207300;0;3;0;1,45
NG011002;28;Afikpo North;207300;0;3;0;1,45
NG011002;29;Afikpo North;207300;0;3;0;1,45
NG011002;30;Afikpo North;207300;0;3;0;1,45
NG011002;31;Afikpo North;207300;0;3;0;1,45
NG011002;32;Afikpo North;207300;0;3;0;1,45
NG011002;33;Afikpo North;207300;0;3;0;1,45
NG011002;34;Afikpo North;207300;0;3;0;1,45
NG011002;35;Afikpo North;207300;;3;0;1,45
NG011002;36;Afikpo North;207300;;3;0;1,45
NG011002;37;Afikpo North;207300;;3;0;1,45
NG011002;38;Afikpo North;207300;;3;0;1,45
NG011002;39;Afikpo North;207300;;3;0;1,45
NG011002;40;Afikpo North;207300;;3;0;1,45
NG011002;41;Afikpo North;207300;;3;0;1,45
NG011002;42;Afikpo North;207300;;3;0;1,45
NG011002;43;Afikpo North;207300;;3;0;1,45
NG011002;44;Afikpo North;207300;;3;0;1,45
NG011002;45;Afikpo North;207300;;3;0;1,45
NG011002;46;Afikpo North;207300;;3;0;1,45
NG011002;47;Afikpo North;207300;;3;0;1,45
NG011002;48;Afikpo North;207300;;3;0;1,45
NG011002;49;Afikpo North;207300;;3;0;1,45
NG011002;50;Afikpo North;207300;;3;0;1,45
NG011002;51;Afikpo North;207300;;3;0;1,45
NG011002;52;Afikpo North;207300;;3;0;1,45
NG011003;1;Afikpo South;208400;0;0;0;0
NG011003;2;Afikpo South;208400;0;0;0;0
NG011003;3;Afikpo South;208400;0;0;0;0
NG011003;4;Afikpo South;208400;0;0;0;0
NG011003;5;Afikpo South;208400;0;0;0;0
NG011003;6;Afikpo South;208400;0;0;0;0
NG011003;7;Afikpo South;208400;0;0;0;0
NG011003;8;Afikpo South;208400;0;0;0;0
NG011003;9;Afikpo South;208400;0;0;0;0
NG011003;10;Afikpo South;208400;0;0;0;0
NG011003;11;Afikpo South;208400;0;0;0;0
NG011003;12;Afikpo South;208400;0;0;0;0
NG011003;13;Afikpo South;208400;0;0;0;0
NG011003;14;Afikpo South;208400;0;0;0;0
NG011003;15;Afikpo South;208400;0;0;0;0
NG011003;16;Afikpo South;208400;0;0;0;0
NG011003;17;Afikpo South;208400;0;0;0;0
NG011003;18;Afikpo South;208400;0;0;0;0
NG011003;19;Afikpo South;208400;0;0;0;0
NG011003;20;Afikpo South;208400;0;0;0;0
NG011003;21;Afikpo South;208400;0;0;0;0
NG011003;22;Afikpo South;208400;0;0;0;0
NG011003;23;Afikpo South;208400;0;0;0;0
NG011003;24;Afikpo South;208400;0;0;0;0
NG011003;25;Afikpo South;208400;0;0;0;0
NG011003;26;Afikpo South;208400;0;0;0;0
NG011003;27;Afikpo South;208400;0;0;0;0
NG011003;28;Afikpo South;208400;0;0;0;0
NG011003;29;Afikpo South;208400;0;0;0;0
NG011003;30;Afikpo South;208400;0;0;0;0
NG011003;31;Afikpo South;208400;0;0;0;0
NG011003;32;Afikpo South;208400;0;0;0;0
NG011003;33;Afikpo South;208400;0;0;0;0
NG011003;34;Afikpo South;208400;0;0;0;0
NG011003;35;Afikpo South;208400;;0;0;0
NG011003;36;Afikpo South;208400;;0;0;0
NG011003;37;Afikpo South;208400;;0;0;0
NG011003;38;Afikpo South;208400;;0;0;0
NG011003;39;Afikpo South;208400;;0;0;0
NG011003;40;Afikpo South;208400;;0;0;0
NG011003;41;Afikpo South;208400;;0;0;0
NG011003;42;Afikpo South;208400;;0;0;0
NG011003;43;Afikpo South;208400;;0;0;0
NG011003;44;Afikpo South;208400;;0;0;0
NG011003;45;Afikpo South;208400;;0;0;0
NG011003;46;Afikpo South;208400;;0;0;0
NG011003;47;Afikpo South;208400;;0;0;0
NG011003;48;Afikpo South;208400;;0;0;0
NG011003;49;Afikpo South;208400;;0;0;0
NG011003;50;Afikpo South;208400;;0;0;0
NG011003;51;Afikpo South;208400;;0;0;0
NG011003;52;Afikpo South;208400;;0;0;0
NG011004;1;Ebonyi;168300;0;0;0;0
NG011004;2;Ebonyi;168300;0;0;0;0
NG011004;3;Ebonyi;168300;0;0;0;0
NG011004;4;Ebonyi;168300;0;0;0;0
NG011004;5;Ebonyi;168300;1;1;0,59;0,59
NG011004;6;Ebonyi;168300;0;1;0;0,59
NG011004;7;Ebonyi;168300;0;1;0;0,59
NG011004;8;Ebonyi;168300;0;1;0;0,59
NG011004;9;Ebonyi;168300;0;1;0;0,59
NG011004;10;Ebonyi;168300;1;2;0,59;1,19
NG011004;11;Ebonyi;168300;0;2;0;1,19
NG011004;12;Ebonyi;168300;0;2;0;1,19
NG011004;13;Ebonyi;168300;1;3;0,59;1,78
NG011004;14;Ebonyi;168300;0;3;0;1,78
NG011004;15;Ebonyi;168300;0;3;0;1,78
NG011004;16;Ebonyi;168300;0;3;0;1,78
NG011004;17;Ebonyi;168300;0;3;0;1,78
NG011004;18;Ebonyi;168300;0;3;0;1,78
NG011004;19;Ebonyi;168300;0;3;0;1,78
NG011004;20;Ebonyi;168300;0;3;0;1,78
NG011004;21;Ebonyi;168300;0;3;0;1,78
NG011004;22;Ebonyi;168300;0;3;0;1,78
NG011004;23;Ebonyi;168300;1;4;0,59;2,38
NG011004;24;Ebonyi;168300;0;4;0;2,38
NG011004;25;Ebonyi;168300;0;4;0;2,38
NG011004;26;Ebonyi;168300;0;4;0;2,38
NG011004;27;Ebonyi;168300;0;4;0;2,38
NG011004;28;Ebonyi;168300;0;4;0;2,38
NG011004;29;Ebonyi;168300;0;4;0;2,38
NG011004;30;Ebonyi;168300;0;4;0;2,38
NG011004;31;Ebonyi;168300;0;4;0;2,38
NG011004;32;Ebonyi;168300;0;4;0;2,38
NG011004;33;Ebonyi;168300;0;4;0;2,38
NG011004;34;Ebonyi;168300;0;4;0;2,38
NG011004;35;Ebonyi;168300;;4;0;2,38
NG011004;36;Ebonyi;168300;;4;0;2,38
NG011004;37;Ebonyi;168300;;4;0;2,38
NG011004;38;Ebonyi;168300;;4;0;2,38
NG011004;39;Ebonyi;168300;;4;0;2,38
NG011004;40;Ebonyi;168300;;4;0;2,38
NG011004;41;Ebonyi;168300;;4;0;2,38
NG011004;42;Ebonyi;168300;;4;0;2,38
NG011004;43;Ebonyi;168300;;4;0;2,38
NG011004;44;Ebonyi;168300;;4;0;2,38
NG011004;45;Ebonyi;168300;;4;0;2,38
NG011004;46;Ebonyi;168300;;4;0;2,38
NG011004;47;Ebonyi;168300;;4;0;2,38
NG011004;48;Ebonyi;168300;;4;0;2,38
NG011004;49;Ebonyi;168300;;4;0;2,38
NG011004;50;Ebonyi;168300;;4;0;2,38
NG011004;51;Ebonyi;168300;;4;0;2,38
NG011004;52;Ebonyi;168300;;4;0;2,38
NG011005;1;Ezza North;193400;0;0;0;0
NG011005;2;Ezza North;193400;0;0;0;0
NG011005;3;Ezza North;193400;0;0;0;0
NG011005;4;Ezza North;193400;0;0;0;0
NG011005;5;Ezza North;193400;0;0;0;0
NG011005;6;Ezza North;193400;0;0;0;0
NG011005;7;Ezza North;193400;0;0;0;0
NG011005;8;Ezza North;193400;0;0;0;0
NG011005;9;Ezza North;193400;0;0;0;0
NG011005;10;Ezza North;193400;0;0;0;0
NG011005;11;Ezza North;193400;0;0;0;0
NG011005;12;Ezza North;193400;0;0;0;0
NG011005;13;Ezza North;193400;0;0;0;0
NG011005;14;Ezza North;193400;0;0;0;0
NG011005;15;Ezza North;193400;0;0;0;0
NG011005;16;Ezza North;193400;1;1;0,52;0,52
NG011005;17;Ezza North;193400;0;1;0;0,52
NG011005;18;Ezza North;193400;0;1;0;0,52
NG011005;19;Ezza North;193400;0;1;0;0,52
NG011005;20;Ezza North;193400;0;1;0;0,52
NG011005;21;Ezza North;193400;0;1;0;0,52
NG011005;22;Ezza North;193400;0;1;0;0,52
NG011005;23;Ezza North;193400;1;2;0,52;1,03
NG011005;24;Ezza North;193400;0;2;0;1,03
NG011005;25;Ezza North;193400;0;2;0;1,03
NG011005;26;Ezza North;193400;0;2;0;1,03
NG011005;27;Ezza North;193400;0;2;0;1,03
NG011005;28;Ezza North;193400;0;2;0;1,03
NG011005;29;Ezza North;193400;0;2;0;1,03
NG011005;30;Ezza North;193400;0;2;0;1,03
NG011005;31;Ezza North;193400;0;2;0;1,03
NG011005;32;Ezza North;193400;0;2;0;1,03
NG011005;33;Ezza North;193400;0;2;0;1,03
NG011005;34;Ezza North;193400;0;2;0;1,03
NG011005;35;Ezza North;193400;;2;0;1,03
NG011005;36;Ezza North;193400;;2;0;1,03
NG011005;37;Ezza North;193400;;2;0;1,03
NG011005;38;Ezza North;193400;;2;0;1,03
NG011005;39;Ezza North;193400;;2;0;1,03
NG011005;40;Ezza North;193400;;2;0;1,03
NG011005;41;Ezza North;193400;;2;0;1,03
NG011005;42;Ezza North;193400;;2;0;1,03
NG011005;43;Ezza North;193400;;2;0;1,03
NG011005;44;Ezza North;193400;;2;0;1,03
NG011005;45;Ezza North;193400;;2;0;1,03
NG011005;46;Ezza North;193400;;2;0;1,03
NG011005;47;Ezza North;193400;;2;0;1,03
NG011005;48;Ezza North;193400;;2;0;1,03
